x,y,z,xx,yy,zz
0.0 , 0.0 , 0.0 , 22.1 , -5.6 , -19.3
14.988085 , -3.7978857 , -13.089141 , 22.1 , -5.6 , -19.3
18.131094 , -4.594304 , -15.8339405 , 22.1 , -5.6 , -19.3
19.563927 , -4.957375 , -17.08524 , 22.1 , -5.6 , -19.3
20.405909 , -5.1707277 , -17.820543 , 22.1 , -5.6 , -19.3
20.960835 , -5.3113422 , -18.305162 , 22.1 , -5.6 , -19.3
21.347193 , -5.409243 , -18.64257 , 22.1 , -5.6 , -19.3
21.623144 , -5.4791675 , -18.883558 , 22.1 , -5.6 , -19.3
21.822325 , -5.529639 , -19.057505 , 22.1 , -5.6 , -19.3
21.966476 , -5.566166 , -19.183392 , 22.1 , -5.6 , -19.3
22.070618 , -5.5925546 , -19.27434 , 22.1 , -5.6 , -19.3
22.145504 , -5.6115303 , -19.339737 , 22.1 , -5.6 , -19.3
22.198963 , -5.6250763 , -19.386423 , 22.1 , -5.6 , -19.3
22.236736 , -5.634648 , -19.41941 , 22.1 , -5.6 , -19.3
22.26304 , -5.6413136 , -19.442383 , 22.1 , -5.6 , -19.3
22.280975 , -5.645858 , -19.458044 , 22.1 , -5.6 , -19.3
22.29281 , -5.648857 , -19.468382 , 22.1 , -5.6 , -19.3
22.300217 , -5.6507335 , -19.474848 , 22.1 , -5.6 , -19.3
22.304409 , -5.651796 , -19.47851 , 22.1 , -5.6 , -19.3
22.306284 , -5.652271 , -19.480146 , 22.1 , -5.6 , -19.3
22.30649 , -5.6523232 , -19.480328 , 22.1 , -5.6 , -19.3
22.305504 , -5.6520734 , -19.479467 , 22.1 , -5.6 , -19.3
22.303673 , -5.6516094 , -19.477867 , 22.1 , -5.6 , -19.3
22.301249 , -5.6509953 , -19.47575 , 22.1 , -5.6 , -19.3
22.298416 , -5.650277 , -19.473276 , 22.1 , -5.6 , -19.3
22.295307 , -5.6494894 , -19.47056 , 22.1 , -5.6 , -19.3
22.292019 , -5.648656 , -19.46769 , 22.1 , -5.6 , -19.3
22.28862 , -5.647795 , -19.464722 , 22.1 , -5.6 , -19.3
22.285164 , -5.6469193 , -19.461704 , 22.1 , -5.6 , -19.3
22.281685 , -5.6460376 , -19.458664 , 22.1 , -5.6 , -19.3
22.278208 , -5.6451564 , -19.45563 , 22.1 , -5.6 , -19.3
