x,y,z,xx,yy,zz
0.0 , 0.0 , 0.0 , 18.9 , -4.8 , -15.0
12.817863 , -3.2553308 , -10.172908 , 19.3 , -5.1 , -21.3
15.68166 , -4.0698876 , -15.076335 , 18.9 , -4.8 , -15.0
16.84542 , -4.3348894 , -15.078604 , 19.3 , -5.0 , -20.6
17.656301 , -4.5541654 , -16.858456 , 18.5 , -4.9 , -10.6
17.950361 , -4.668596 , -15.026789 , 18.5 , -4.9 , -10.6
18.155293 , -4.748279 , -13.75396 , 19.3 , -5.1 , -21.3
18.53313 , -4.8630714 , -15.940825 , 18.9 , -4.8 , -15.0
18.690973 , -4.8595963 , -15.709138 , 18.9 , -5.0 , -15.6
18.805153 , -4.9144125 , -15.712379 , 19.4 , -5.1 , -21.3
19.031626 , -4.983011 , -17.356176 , 19.3 , -5.1 , -21.3
19.167368 , -5.03289 , -18.557858 , 18.9 , -4.8 , -15.0
19.150106 , -4.982507 , -17.618095 , 18.9 , -4.8 , -15.0
19.13629 , -4.945324 , -16.929058 , 18.9 , -4.8 , -15.0
19.125032 , -4.917829 , -16.423931 , 18.5 , -4.9 , -10.6
19.000158 , -4.926326 , -14.782914 , 19.3 , -5.1 , -21.3
19.138863 , -4.9900317 , -16.673138 , 18.9 , -4.8 , -15.0
19.123684 , -4.949681 , -16.234766 , 19.3 , -5.1 , -21.3
19.227058 , -5.0065436 , -17.732737 , 18.9 , -4.8 , -15.0
19.186096 , -4.9612207 , -17.007689 , 19.4 , -5.1 , -21.3
19.299463 , -5.0144234 , -18.295113 , 18.9 , -4.8 , -15.0
19.237026 , -4.966476 , -17.416864 , 18.9 , -4.8 , -15.0
19.190416 , -4.9311852 , -16.77394 , 19.4 , -5.1 , -21.3
19.299604 , -4.99168 , -18.120092 , 18.9 , -4.8 , -15.0
19.234297 , -4.9491568 , -17.28638 , 18.5 , -4.9 , -10.6
19.070354 , -4.946675 , -15.407865 , 18.9 , -4.8 , -15.0
19.064953 , -4.915825 , -15.3024845 , 19.4 , -5.1 , -21.3
19.20423 , -4.9794993 , -17.04022 , 19.3 , -4.9 , -20.5
19.276379 , -4.9682136 , -18.079176 , 18.9 , -4.8 , -15.0
19.213072 , -4.930954 , -17.25366 , 19.4 , -5.1 , -21.3
