time,e_d_x,e_p_x,e_i_x,e_d_y,e_p_y,e_i_y,e_d_z,e_p_z,e_i_z,roll,pitch,yaw,thrust,x,y,z
19.150935649871826,0,-40.0,0.0,0,-40.0,0.0,0,80.0,0.0,1453.358492406526,1546.4877304465494,1500,1727.3841495162562,0.0,0.0,0.0
19.161438941955566,-2241.0,-63.53333956817775,-0.667036567026204,2691.0,-11.642123508331839,-0.1226664457806847,-815.0,71.40096965597563,0.753554182718138,1600.0,1400.0,1500,2050.0,23.533339568177748,-28.35787649166816,8.599030344024369
19.16817855834961,-732.0,-68.46829276494839,-1.1287477812261761,889.0,-5.6954624812916705,-0.16078552889311998,-270.0,69.59774864850105,1.2182024670712337,1400.0,1400.0,1500,2050.0,28.468292764948394,-34.30453751870833,10.402251351498949
19.17532777786255,-315.0,-70.71803709846861,-1.634208528509871,379.0,-2.984501218740313,-0.18211811387929042,-115.0,68.77569703384637,1.7098294327057662,1400.0,1400.0,1500,2050.0,30.71803709846862,-37.01549878125969,11.224302966153624
19.182523488998413,-184.0,-72.04006288355589,-2.1525021327822804,221.0,-1.391448782485142,-0.19216607433325608,-67.0,68.29263172946771,2.2040277450486014,1400.0,1400.0,1500,2050.0,32.0400628835559,-38.60855121751486,11.707368270532285
19.18939185142517,-127.0,-72.91137164719957,-2.6531274074566245,152.0,-0.34151423180510676,-0.19452507127860327,-46.0,67.97425743006664,2.6727633082433098,1400.0,1400.0,1500,1893.783975625999,32.91137164719957,-39.65848576819489,12.025742569933364
19.19661545753479,-134.0,-73.88225177697839,-3.1869822268986305,161.0,0.8131520738435754,-0.18868394511492198,264.0,69.87188107570768,3.1754578872105363,1400.0,1400.0,1500,2050.0,33.88225177697839,-40.813152073843575,10.12811892429232
19.20357346534729,-48.0,-74.21567168059826,-3.7032692838922334,58.0,1.219107542614779,-0.18018801504627888,-106.0,69.132542322358,3.657768290423284,1400.0,1405.790433913186,1500,1556.2689393725932,34.215671680598255,-41.21910754261478,10.867457677641992
19.209998846054077,-37.0,-74.45599990407739,-4.182138973216706,46.0,1.5117373890687773,-0.17054372863864073,-84.0,68.59694546808228,4.0939995045818565,1400.0,1426.3306464190093,1500,1579.4462191441573,34.45599990407739,-41.51173738906878,11.40305453191771
19.217520713806152,-23.0,-74.62949014491005,-4.743171853465529,28.0,1.7230075819915172,-0.15742287183646114,-51.0,68.20676016567386,4.614473358137192,1400.0,1455.7640459585334,1500,1624.8004148674377,34.62949014491006,-41.72300758199152,11.793239834326146
19.224488019943237,-18.0,-74.75434042030673,-5.263990405426045,22.0,1.8750724076469538,-0.14447758420155607,-41.0,67.92203405261694,5.083059320753761,1400.0,1464.5741693380264,1500,1638.883946017741,34.754340420306725,-41.875072407646954,12.07796594738307
19.23168635368347,-12.0,-74.84361064570842,-5.802579096212268,15.0,1.9838293046606736,-0.1301878591476715,-29.0,67.71434861095024,5.571038709256498,1400.0,1475.172242123544,1500,1658.8764667536764,34.84361064570843,-41.983829304660674,12.285651389049763
19.238555669784546,-9.0,-74.90682554038074,-6.317244914050625,11.0,2.060871587200097,-0.1160202710698098,-22.0,67.56310161835543,6.035392635522293,1400.0,1480.9930179567732,1500,1670.2195839616977,34.906825540380744,-42.0608715872001,12.43689838164457
19.245271921157837,-45.0,-75.21000405217374,-6.822804562146468,59.0,2.4532310892494493,-0.09964084711214208,235.0,69.12814436900707,6.49614760320703,1400.0,1433.6388458647045,1500,2050.0,35.210004052173744,-42.45323108924945,10.871855630992922
19.253015279769897,5.0,-75.17050492720088,-7.404769206577598,-7.0,2.398994376749407,-0.08105427797770434,-68.0,68.59776043036595,7.027308307222999,1411.1873027813353,1507.9503196662154,1500,1564.5820342441855,35.170504927200874,-42.39899437674941,11.402239569634046
19.263004779815674,3.0,-75.13951219424592,-8.155196220524314,-4.0,2.356783761218729,-0.05747241531566849,-39.0,68.2102313812529,7.710792290379989,1411.6911888346065,1503.4802871786997,1500,1628.837467564778,35.13951219424593,-42.35678376121873,11.789768618747102
19.27048945426941,3.0,-75.11481306640816,-8.717352416678564,-4.0,2.323458621117709,-0.04007432855003494,-38.0,67.92738217688081,8.219449559717518,1412.0992467933545,1503.8680423392834,1500,1630.4208942434543,35.11481306640816,-42.32345862111771,12.072617823119188
19.27725863456726,-70.0,-75.59022044614463,-9.229252512988294,88.0,2.9169417558574864,-0.02036240563552407,423.0,70.77983138269207,8.69676535052797,1400.0,1417.3783823587235,1500,2050.0,35.59022044614462,-42.916941755857486,9.220168617307928
19.283762216567993,23.0,-75.44028031793735,-9.719974494016443,-29.0,2.7281006736980586,-0.002655102411733914,-150.0,69.80635752827273,9.15012428184772,1431.4673875548797,1547.6533672651622,1500,1480.0,35.44028031793736,-42.72810067369806,10.193642471727278
19.290733814239502,16.0,-75.32868928921432,-10.24517172838107,-20.0,2.5876581115021224,0.015376988558063229,-102.0,69.09471484535558,9.631528312629902,1424.6888555151927,1529.8065660803115,1500,1492.4242993268997,35.328689289214324,-42.58765811150212,10.905285154644421
19.297858476638794,12.0,-75.24522085646755,-10.781089125557159,-15.0,2.482705042452089,0.03311751304730663,-73.0,68.57473953878072,10.122209265426335,1421.0712628030024,1520.0632930258582,1500,1555.7312385981525,35.245220856467554,-42.48270504245209,11.425260461219283
19.305293083190918,8.0,-75.1823826840795,-11.340004710710806,-11.0,2.403783956440229,0.050975519544374445,-51.0,68.19504574755094,10.627976917954399,1418.4073219810825,1513.3254325970418,1500,1602.3955988398502,35.18238268407949,-42.40378395644023,11.80495425244906
